id,election_id,upper_tier,lower_tier,current_council,election_date,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
man_0001,1945man1001,Manchester,Manchester,Manchester,01/11/1945,1945,man1001,All Saints,Evans F.,Lab,1261,0,1,,9772,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0002,1945man1001,Manchester,Manchester,Manchester,01/11/1945,1945,man1001,All Saints,Holberry A.,Con,1093,0,1,,9772,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0003,1945man1001,Manchester,Manchester,Manchester,01/11/1945,1945,man1001,All Saints,Phillips F.,Ind,31,0,1,,9772,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0004,1945man1002,Manchester,Manchester,Manchester,01/11/1945,1945,man1002,Ardwick,McGrath J.,Lab,2537,0,1,,12251,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0005,1945man1002,Manchester,Manchester,Manchester,01/11/1945,1945,man1002,Ardwick,Dobbins T.,Con,2362,0,1,,12251,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0006,1945man1003,Manchester,Manchester,Manchester,01/11/1945,1945,man1003,Beswick,Winstanley W.,Lab,3831,0,2,,14937,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0007,1945man1003,Manchester,Manchester,Manchester,01/11/1945,1945,man1003,Beswick,Farrell T.,Lab,3758,0,2,,14937,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0008,1945man1003,Manchester,Manchester,Manchester,01/11/1945,1945,man1003,Beswick,McGuiness J.,Con,1279,0,2,,14937,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0009,1945man1004,Manchester,Manchester,Manchester,01/11/1945,1945,man1004,Blackley,Cruse E.,Lab,3898,1,2,,20137,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0010,1945man1004,Manchester,Manchester,Manchester,01/11/1945,1945,man1004,Blackley,Prain R.,Lab,3821,0,2,,20137,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0011,1945man1004,Manchester,Manchester,Manchester,01/11/1945,1945,man1004,Blackley,Chadwick P.,Con,3637,0,2,,20137,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0012,1945man1004,Manchester,Manchester,Manchester,01/11/1945,1945,man1004,Blackley,Bryant G.,Con,3426,0,2,,20137,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0013,1945man1004,Manchester,Manchester,Manchester,01/11/1945,1945,man1004,Blackley,Culley J.,Lib,1358,0,2,,20137,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0014,1945man1004,Manchester,Manchester,Manchester,01/11/1945,1945,man1004,Blackley,Critchley S.,Lib,1246,0,2,,20137,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0015,1945man1005,Manchester,Manchester,Manchester,01/11/1945,1945,man1005,Bradford,Malcolm R.,Lab,4163,0,1,,17573,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0016,1945man1005,Manchester,Manchester,Manchester,01/11/1945,1945,man1005,Bradford,Griffiths E.,Con,1395,0,1,,17573,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0017,1945man1006,Manchester,Manchester,Manchester,01/11/1945,1945,man1006,Cheetham,Goldstone H.,Lab,3752,0,2,,15733,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0018,1945man1006,Manchester,Manchester,Manchester,01/11/1945,1945,man1006,Cheetham,Micklewright F.,Lab,3578,0,2,,15733,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0019,1945man1006,Manchester,Manchester,Manchester,01/11/1945,1945,man1006,Cheetham,Lorimer H.,Con,1753,0,2,,15733,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0020,1945man1006,Manchester,Manchester,Manchester,01/11/1945,1945,man1006,Cheetham,Goodfellow W.,Con,1748,0,2,,15733,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0021,1945man1006,Manchester,Manchester,Manchester,01/11/1945,1945,man1006,Cheetham,Needoff S.,Lib,1465,0,2,,15733,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0022,1945man1006,Manchester,Manchester,Manchester,01/11/1945,1945,man1006,Cheetham,Phelan R.,Lib,784,0,2,,15733,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0023,1945man1007,Manchester,Manchester,Manchester,01/11/1945,1945,man1007,Chorlton Cum Hardy,Whittaker M.,Con,6981,1,2,,33014,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0024,1945man1007,Manchester,Manchester,Manchester,01/11/1945,1945,man1007,Chorlton Cum Hardy,Turley R.,Con,6979,0,2,,33014,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0025,1945man1007,Manchester,Manchester,Manchester,01/11/1945,1945,man1007,Chorlton Cum Hardy,Kelsall F.,Lab,3453,1,2,,33014,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0026,1945man1007,Manchester,Manchester,Manchester,01/11/1945,1945,man1007,Chorlton Cum Hardy,Brightman W.,Lab,3280,0,2,,33014,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0027,1945man1008,Manchester,Manchester,Manchester,01/11/1945,1945,man1008,Collegiate Church,Langton B.,Lab,1237,0,2,,6189,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0028,1945man1008,Manchester,Manchester,Manchester,01/11/1945,1945,man1008,Collegiate Church,Finkel R.,Lab,1174,1,2,,6189,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0029,1945man1008,Manchester,Manchester,Manchester,01/11/1945,1945,man1008,Collegiate Church,Fidler M.,Lib,590,0,2,,6189,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0030,1945man1008,Manchester,Manchester,Manchester,01/11/1945,1945,man1008,Collegiate Church,Fitzsimmons G.,Con,555,0,2,,6189,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0031,1945man1008,Manchester,Manchester,Manchester,01/11/1945,1945,man1008,Collegiate Church,Less A.,Con,526,0,2,,6189,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
man_0032,1945man1008,Manchester,Manchester,Manchester,01/11/1945,1945,man1008,Collegiate Church,Gouldman J.,Ind,295,0,2,,6189,,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
